1-EC1118_1F14_0012g	1532
2-EC1118_1F14_0023g	1217
3-EC1118_1F14_0034g	1703
4-EC1118_1F14_0045g	1028
5-EC1118_1F14_0056g	2108
6-EC1118_1F14_0078g	1811
7-EC1118_1F14_0089g	1202
8-EC1118_1F14_0100g	1466
9-EC1118_1F14_0111g	1694
10-EC1118_1F14_0133g	809
11-EC1118_1F14_0144g	1487
12-EC1118_1F14_0155g	1121
13-EC1118_1N26_0012g	3863
14-EC1118_1N26_0023g	1511
15-EC1118_1N26_0034g	1181
16-EC1118_1N26_0045g	983
17-EC1118_1N26_0056g	1865
18-EC1118_1O4_6480g	1787
19-EC1118_1O4_6491g	1778
20-EC1118_1O4_6502g_NumOfGenes_2	1751
21-EC1118_1O4_6524g	698
22-EC1118_1O4_6535g	1907
23-EC1118_1O4_6546g	1514
24-EC1118_1O4_6557g	1562
25-EC1118_1O4_6568g	542
26-EC1118_1O4_6579g	1028
27-EC1118_1O4_6612g	782
28-EC1118_1O4_6623g	1076
29-EC1118_1O4_6634g	1700
30-EC1118_1O4_6645g	1433
31-EC1118_1O4_6656g	4337
32-augustus_masked-1-AMHPLA_TAIW	1268
33-augustus_masked-1-AMHPLA_TAIW	545
34-augustus_masked-1-AMHPLA_TAIW	860
35-augustus_masked-1-AMHPLA_TAIW	1121
36-augustus_masked-2-CGIPLA_MA	1271
37-augustus_masked-2-CGIPLA_MA	545
38-augustus_masked-2-CGIPLA_MA	893
39-augustus_masked-2-CGIPLA_MA	1115
40-augustus_masked-3-ALIPLA_SA	1271
41-augustus_masked-3-ALIPLA_SA	872
42-augustus_masked-3-ALIPLA_SA	1121
43-snap_masked-3-ALIPLA_SA	548
44-PUT_AA_TRASP-R.14848-	2673
45-PUT_IRON_TRASP-R.14849-	2910
46-PUT_LAC_TRASP-R.14850-	2589
47-RTM1-R.14851-	929
48-MPR1-R.14847-	689
49-MEL1-R.14846-	1415
50-BIO6-R.8578-	2423
58-augustus_masked-11091-BAF_6	305
59-augustus_masked-1113-BMC_1	590
60-augustus_masked-11172-CPM_4	1418
61-augustus_masked-11216-CPN_4	941
62-augustus_masked-11537-CPG_1	1394
63-augustus_masked-11538-CPG_1	329
64-augustus_masked-11538-CPG_1	1499
65-augustus_masked-11538-CPG_1	479
66-augustus_masked-11538-CPG_1	1532
67-augustus_masked-11588-BAL_7	446
68-augustus_masked-11590-BAL_7	2381
69-augustus_masked-11590-BAL_7	911
70-augustus_masked-11626-ASB_2	752
71-augustus_masked-11626-ASB_2	1571
72-augustus_masked-1166-YCM	389
73-augustus_masked-1166-YCM	1070
74-augustus_masked-11951-BDM_5	425
75-augustus_masked-11951-BDM_5	1532
76-augustus_masked-11960-BDM_5	704
77-augustus_masked-11963-BDM_5	353
78-augustus_masked-1197-YCM	1121
79-augustus_masked-11976-ANL_2	386
80-augustus_masked-12142-CPK_4	1133
81-augustus_masked-1220-ANM_2	749
82-augustus_masked-12212-ALI_5	860
83-augustus_masked-12212-ALI_5	1130
84-augustus_masked-12212-ALI_5	911
85-augustus_masked-12217-ALI_5	842
86-augustus_masked-1224-ANM_2	404
87-augustus_masked-125-YCE	827
88-augustus_masked-125-YCE	1796
89-augustus_masked-125-YCE	1598
90-augustus_masked-1265-AHB_2	1769
91-augustus_masked-1266-AHB_2	749
92-augustus_masked-1266-AHB_2	968
93-augustus_masked-1266-AHB_2	1382
94-augustus_masked-1285-AHB_2	587
95-augustus_masked-1364-CFF_4	566
96-augustus_masked-1372-CFF_4	542
97-augustus_masked-1375-CFF_4	968
98-augustus_masked-1375-CFF_4	1628
99-augustus_masked-1375-CFF_4	737
100-augustus_masked-1375-CFF_4	1598
101-augustus_masked-1375-CFF_4	1010
102-augustus_masked-1433-AAT_3	2351
103-augustus_masked-1449-AAT_3	386
104-augustus_masked-1452-AAT_3	1313
105-augustus_masked-1454-AAT_3	254
106-augustus_masked-1568-CBK_4	404
107-augustus_masked-1645-AQT_4	1043
108-augustus_masked-1649-AIE_1	1673
109-augustus_masked-1649-AIE_1	1517
110-augustus_masked-1649-AIE_1	752
111-augustus_masked-1649-AIE_1	1328
112-augustus_masked-1649-AIE_1	515
113-augustus_masked-1649-AIE_1	650
114-augustus_masked-1654-AIE_1	464
115-augustus_masked-1654-AIE_1	1028
116-augustus_masked-1659-AIE_1	1490
117-augustus_masked-1659-AIE_1	614
118-augustus_masked-1661-AIE_1	1079
119-augustus_masked-1663-AIE_1	356
120-augustus_masked-1671-AIE_1	4238
121-augustus_masked-1683-AIE_1	2279
122-augustus_masked-1684-AIE_1	569
123-augustus_masked-1685-AIE_1	641
124-augustus_masked-1688-AIE_1	1061
125-augustus_masked-1689-AIE_1	1085
126-augustus_masked-1689-AIE_1	3053
127-augustus_masked-1689-AIE_1	695
128-augustus_masked-1697-AIE_1	3053
129-augustus_masked-1697-AIE_1	503
130-augustus_masked-1697-AIE_1	1457
131-augustus_masked-1697-AIE_1	2378
132-augustus_masked-1697-AIE_1	1130
133-augustus_masked-1698-AIE_1	374
134-augustus_masked-1700-AIE_1	1868
135-augustus_masked-1700-AIE_1	1850
136-augustus_masked-1700-AIE_1	1364
137-augustus_masked-1700-AIE_1	614
138-augustus_masked-1700-AIE_1	1286
139-augustus_masked-1700-AIE_1	914
140-augustus_masked-1700-AIE_1	743
141-augustus_masked-1706-AIE_1	1451
142-augustus_masked-1731-ATP_4	509
143-augustus_masked-175-YCE	389
144-augustus_masked-182-ABQ_6	809
145-augustus_masked-1903-CLC_4	293
146-augustus_masked-1981-YCU	722
147-augustus_masked-1985-AID_2	4688
148-augustus_masked-1999-AID_2	290
149-augustus_masked-2075-ARN_6	923
150-augustus_masked-2075-ARN_6	1766
151-augustus_masked-2075-ARN_6	1286
152-augustus_masked-2075-ARN_6	725
153-augustus_masked-2075-ARN_6	1580
154-augustus_masked-2075-ARN_6	1580
155-augustus_masked-2075-ARN_6	281
156-augustus_masked-2151-BRV_4	362
157-augustus_masked-2154-BRV_4	3827
158-augustus_masked-2154-BRV_4	1406
159-augustus_masked-2209-ABD_5	857
160-augustus_masked-223-BFM_3	785
161-augustus_masked-2311-AKE_3	1409
162-augustus_masked-2356-ARB_2	791
163-augustus_masked-2357-ARB_2	650
164-augustus_masked-2357-ARB_2	1010
165-augustus_masked-2358-ARB_2	1262
166-augustus_masked-2358-ARB_2	1778
167-augustus_masked-237-BFM_3	539
168-augustus_masked-2370-ARB_2	701
169-augustus_masked-2392-BTV_5	800
170-augustus_masked-2392-BTV_5	1205
171-augustus_masked-244-BFM_3	314
172-augustus_masked-253-BFM_3	1760
173-augustus_masked-2546-BAD_8	380
174-augustus_masked-2591-YAA	638
175-augustus_masked-2782-CPI_4	347
176-augustus_masked-2799-CPI_4	3593
177-augustus_masked-2802-CPI_4	1589
178-augustus_masked-2804-CPI_4	2474
179-augustus_masked-2806-CPI_4	1181
180-augustus_masked-2809-CPI_4	2363
181-augustus_masked-2810-CPI_4	479
182-augustus_masked-2811-CPI_4	1835
183-augustus_masked-2811-CPI_4	542
184-augustus_masked-2814-CPI_4	1481
185-augustus_masked-2814-CPI_4	1217
186-augustus_masked-2814-CPI_4	929
187-augustus_masked-2814-CPI_4	962
188-augustus_masked-2814-CPI_4	1757
189-augustus_masked-2814-CPI_4	1022
190-augustus_masked-2843-CPI_4	950
191-augustus_masked-2848-CPI_4	1142
192-augustus_masked-2854-CPI_4	1859
193-augustus_masked-2860-CPI_4	2594
194-augustus_masked-2860-CPI_4	1685
195-augustus_masked-2861-CPI_4	1220
196-augustus_masked-2861-CPI_4	905
197-augustus_masked-2861-CPI_4	785
198-augustus_masked-2861-CPI_4	671
199-augustus_masked-2861-CPI_4	479
